English,Apatani
"Hello, how are you?",No ayaswdu lo?
What is your name?,Nwka armyan nwla na?
My name is John.,Ngwka armyan John
I am from India.,Ngo India hokw.
Where are you going?,No inpa(na)?
I am going to the market.,(Ngo) bwjer inchi.
What time is it?,Ne bajidoku?
It is eight o’clock.,aat bajidoku.
I want to eat rice.,Ngo apin dwnado.
The food is delicious.,Apin dwpyo do.
Can you help me?,No ngwmi help bila kendoha?
Thank you very much.,Paya aropacho.
You’re welcome.,Hangw maswke.
Good morning!,Aro aya.
Good night.,Ayo aya.
I love my family.,Ngo ato uru mi ano hendu.
This is my house.,Si ngwka ude.
The house is big.,Ude (si) kayedo.
Where is the school?,Skul si nona (donw)?
I am a student.,Ngo student.
The teacher is kind.,Sarw/medam si aha keyindo.
I like to read books.,Ngwpa kheta (si) puriripyodo.
This book is interesting.,swka kheta si interesting do.
What is this?,Si nw(pya/ na)?
This is a pen.,Si Pen (ke).
The sky is blue.,Yapun (si) jijido.
It is raining today.,Swlo mudo hudo/ hulado.
The sun is shining.,Danyi byodo/ byolado.
I am feeling happy.,Ngo nenpyodo.
I am very tired.,Ngo rengwdo.
Where is the bathroom?,Nekan (si) nona (donw)?
I need water.,Yasi bipe/ tannado.
The water is cold.,Yasi (si) chancha/ lakhw do.
I have two cats.,Ngwkw Aami dornye du.
The dog is barking.,Aki pilado.
Let’s go for a walk.,kwje sotesa.
The road is long.,Lenda si obyodo.
I want to buy clothes.,Ngo abi-tarw rwnando.
How much is this?,Si ne khwdo?
It costs ten rupees.,Si barlyanhe khwdo.
I don’t understand.,Ngo tachinma/taderma.
Please speak slowly.,Iche hasopa/ hasokwlyinpa luto
Can you repeat that?,No hwmi lutilakindo ha?
I am learning Apatani.,No tanw-agun hikidu.
This is my friend.,si ngwka ajin (ke).
We are playing football.,ngunu football tuka swlada.
The game is fun.,
What day is today?,Swlo nw alo pya/na?
Today is Monday.,Swlo Monday.
Tomorrow is a holiday.,Aarda suti alo.
The festival is tomorrow.,Aarda festival do.
I like to sing songs.,Ngwpa bwsi swpyodo.
The music is loud.,Music si gorodo.
Where is the hospital?,Hospital nona donw?
I am not feeling well.,Aau si hempyoma.
Call the doctor.,doctor mi gyoto.
I need medicine.,Ngo dwro dwkindo/ tankindo ke.
The shop is closed.,Dukan si mwpyantola do.
I want to travel.,Ngo inkanando.
Where is the bus stop?,Basw (bus) dumoko nona donw?
The bus is late.,Basw (bus) si late  do.
I have a ticket.,Ngwika aginho ticket do.
The train is fast.,Train si nyibya hardoke.
I love the mountains.,Ngo  putu mi kajido.
The river is clean.,Kwle si darwdo.
The forest is green.,More si jijido.
What is the weather like?,Mwdo-yasi lakhw-gubu nwtando?
It is very hot today.,Swlo ano gubudo.
I need an umbrella.,Sati bere lagido.
The flower is beautiful.,Apu is kapyodo.
I planted a tree.,Ngo sanw range alito.
The fruit is sweet.,Ayi si tiido.
I am cooking dinner.,Ngo apin mwdu.
The kitchen is clean.,Kitchen si darwdo.
Let’s eat together.,Apin dwbinsa.
I am full.,Ere potedo.
The table is wooden.,Table si sanje hoka mwni.
Where are my shoes?,ngwka luku si nona donw?
My bag is heavy.,Ngwka bag si ayihdo.
I lost my phone.,Ngo nwka phone me alyuswto.
Can you call me?,No ngwmi phone/ call mwla kendo ha?
The movie is good.,Film si ayado.
I like to watch TV.,Ngwpa TV ano kajido.
What is your favorite color?,No nw rong mi kabyojado?
My favorite color is red.,Ngo lancha mi kabyojadu.
I am going to sleep.,Ngo imi talyike.
The bed is comfortable.,Sika sangw si imi ipyodo.
Wake me up at six.,Arda soy bajiho ahulyape a.
I have a meeting today.,Swlo meeting do.
The office is far.,Office si ado do.
I work every day.,Ngo alo karmyan kam lyidu.